"Ativo","Data","LPA| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","VPA| Em moeda orig| consolid:sim*| ajust p/ prov","Vendas/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","EBITDA/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov"
"AESB3<XBSP>","4T2010",5.1872230612,32.090745759,77.053707458,27.048784533
"AESB3<XBSP>","1T2011",5.2566153687,33.3732,78.393784378,"-"
"AESB3<XBSP>","2T2011",4.5900769091,31.755284615,78.915892068,"-"
"AESB3<XBSP>","3T2011",4.6616153705,30.849946154,78.267153609,"-"
"AESB3<XBSP>","4T2011",8.6858076662,35.519930769,76.291984386,26.795584535
"AESB3<XBSP>","1T2012",8.519,36.330484615,77.323923077,25.845707692
"AESB3<XBSP>","2T2012",8.1997692308,33.629307692,77.543930769,23.5272
"AESB3<XBSP>","3T2012",7.5413461539,33.328707692,76.813853846,20.095307692
"AESB3<XBSP>","4T2012",2.6200307692,32.729215385,77.690684615,15.766184615
"AESB3<XBSP>","1T2013",2.1469,28.3122,77.569130769,13.4996
"AESB3<XBSP>","2T2013",3.7466230769,31.174692308,75.276246154,16.855369231
"AESB3<XBSP>","3T2013",3.7540538462,29.763884615,74.244707692,16.092338462
"AESB3<XBSP>","4T2013",3.9770615385,30.375146154,72.528076923,17.316753846
"AESB3<XBSP>","1T2014",4.0945692308,31.096776923,73.566792308,17.226523077
"AESB3<XBSP>","2T2014",1.7750230769,30.399023077,77.104315385,10.008938461
"AESB3<XBSP>","3T2014",0.80410769231,28.595438462,82.745923077,8.7830230769
"AESB3<XBSP>","4T2014",0.63034615385,28.324461538,90.502638462,9.7712923077
"AESB3<XBSP>","1T2015",0.75304615385,29.168792308,98.096469231,11.068846153
"AESB3<XBSP>","2T2015",1.4999769231,29.152584615,105.8015,14.579046153
"AESB3<XBSP>","3T2015",2.0812307692,28.9675,109.45262307,15.178838461
"AESB3<XBSP>","4T2015",3.0116146675,5.2942870572,20.09223223,10.888107666
"AESB3<XBSP>","1T2016","-",5.4897081628,"-","-"
"AESB3<XBSP>","2T2016","-",4.4021905629,"-","-"
"AESB3<XBSP>","3T2016","-",4.2126248802,"-","-"
"AESB3<XBSP>","4T2016",0.92973641441,4.0106511944,4.0488381576,2.0884418113
"AESB3<XBSP>","1T2017",1.0551038666,4.3352216267,4.0688104272,2.2938000411
"AESB3<XBSP>","2T2017",1.0159276523,4.1383867418,4.0048087046,2.2092962708
"AESB3<XBSP>","3T2017",0.85910775752,3.9740966437,4.1316053752,2.064975447
"AESB3<XBSP>","4T2017",0.75808420781,3.9591813081,4.3921062355,2.1403818608
"AESB3<XBSP>","1T2018",0.57703367002,4.0972534608,4.460697616,2.1270731626
"AESB3<XBSP>","2T2018",0.58206859283,4.0333107145,4.6195632824,2.2685237402
"AESB3<XBSP>","3T2018",0.5755211704,3.8630313843,4.8874999298,2.3897141592
"AESB3<XBSP>","4T2018",0.73185997342,3.8718247826,4.8886725386,2.5699311903
"AESB3<XBSP>","1T2019",0.75028273571,4.0115737387,5.0687384523,2.5851269579
"AESB3<XBSP>","2T2019",0.60409630042,3.7274071928,5.1546189485,2.4726578682
"AESB3<XBSP>","3T2019",0.75954877637,3.8318854321,5.0437083653,2.5856527895
"AESB3<XBSP>","4T2019",0.75854350606,3.6360479311,5.1806252549,2.6190993129
"AESB3<XBSP>","1T2020",0.78939087249,3.8252982162,5.1457820592,2.7317834458
"AESB3<XBSP>","2T2020",0.9962352627,3.9007041731,5.0763011014,2.8510105118
"AESB3<XBSP>","3T2020",0.87941210665,3.4517136283,5.0286991138,2.9911397061
"AESB3<XBSP>","4T2020",2.1247993016,4.6164581675,5.0392376569,5.1959552641
