"Ativo","Data","LiqGer| consolid:sim*","LiqGer| consolid:sim*","LiqCor| consolid:sim*","CapGir| Em moeda orig| em milhares| consolid:sim*","Cap Empl| Em moeda orig| em milhares| consolid:sim*"
"EALT4<XBSP>","4T2020",0.90217307544,0.90217307544,1.2081019826,28372,331045
"EALT4<XBSP>","1T2021",0.88443594446,0.88443594446,1.1647053132,27236,333765
"EALT4<XBSP>","2T2021",0.87451504166,0.87451504166,1.1232509807,19511,323979
"EALT4<XBSP>","3T2021",0.90589943526,0.90589943526,1.1992890408,36160,364369
"EALT4<XBSP>","4T2021",0.79222894599,0.79222894599,1.1865146461,32652,382786
"EALT4<XBSP>","1T2022",0.72605027953,0.72605027953,1.0452679825,8316,368948
"EALT4<XBSP>","2T2022",0.75023991448,0.75023991448,1.0331942364,6849,388767
"EALT4<XBSP>","3T2022",0.72074318574,0.72074318574,0.94057249095,-12658,393890
"EALT4<XBSP>","4T2022",0.70779358104,0.70779358104,0.99264467577,-1339.0000002,404917
"EALT4<XBSP>","1T2023",0.69939907174,0.69939907174,0.94795919936,-10157.999999,390968
"EALT4<XBSP>","2T2023",0.71268262947,0.71268262947,0.99553718307,-841,390321
"EALT4<XBSP>","3T2023",0.74030392879,0.74030392879,1.0543785745,10611,409856
"EALT4<XBSP>","4T2023",0.77818242587,0.77818242587,1.1038983221,20682,432219
"AERI3<XBSP>","4T2018",0.83634804304,0.83634804304,2.2110681096,153647,473598
"AERI3<XBSP>","1T2019","-","-","-","-","-"
"AERI3<XBSP>","2T2019","-","-","-","-","-"
"AERI3<XBSP>","3T2019","-","-","-","-","-"
"AERI3<XBSP>","4T2019",0.72879102048,0.72879102048,1.1928370113,64315,653258
"AERI3<XBSP>","1T2020",0.77999481552,0.77999481552,1.1568513435,78226.000001,915826
"AERI3<XBSP>","2T2020",0.75786916919,0.75786916919,1.1916182544,131869,1083046
"AERI3<XBSP>","3T2020",0.78290376449,0.78290376449,1.2661050157,224103,1354889
"AERI3<XBSP>","4T2020",1.245417007,1.245417007,1.7698017464,725445,2118541
"AERI3<XBSP>","1T2021",1.1117565061,1.1117565061,2.6533424983,1181009,2470698
"AERI3<XBSP>","2T2021",1.1093953249,1.1093953249,2.7265794402,957908,2125745
"AERI3<XBSP>","3T2021",1.0459344058,1.0459344058,3.3973585455,1366468,2457983
"AERI3<XBSP>","4T2021",1.0109509443,1.0109509443,2.7990748845,1276503,2470334
"AERI3<XBSP>","1T2022",1.0018337626,1.0018337626,2.6514807692,1231387,2478000
"AERI3<XBSP>","2T2022",0.98602340924,0.98602340924,2.4933248375,1314765,2631548
"AERI3<XBSP>","3T2022",0.97036705063,0.97036705063,2.1942352917,1243642,2517602
"AERI3<XBSP>","4T2022",0.95739127757,0.95739127757,1.9493577222,1265041,2701594
"AERI3<XBSP>","1T2023",0.93443708746,0.93443708746,1.9297105713,1006487,2676318
"AERI3<XBSP>","2T2023",0.91702992154,0.91702992154,1.6339150987,756610,2627886
"AERI3<XBSP>","3T2023",0.92960445265,0.92960445265,1.4632236384,818808,2582257
"AERI3<XBSP>","4T2023",1.026929414,1.026929414,1.6065992797,1028537,2868264
"AESB3<XBSP>","4T2006",0.62898393336,0.62898393336,1.2105123991,924317.00001,14100124
"AESB3<XBSP>","1T2007",0.63900517195,0.63900517195,1.3428979621,1366865,13940506
"AESB3<XBSP>","2T2007",0.64475568835,0.64475568835,1.4708595018,1813586,15631801
"AESB3<XBSP>","3T2007",0.61661076577,0.61661076577,1.2804164294,1128940,14918435
"AESB3<XBSP>","4T2007",0.58790370647,0.58790370647,1.3249386625,1233667,14548580
"AESB3<XBSP>","1T2008",0.60281269517,0.60281269517,1.3857717286,1463074,14781889
"AESB3<XBSP>","2T2008",0.63030980078,0.63030980078,1.4018062681,1531976,14917255
"AESB3<XBSP>","3T2008",0.63932458558,0.63932458558,1.3253921226,1338794,14725147
"AESB3<XBSP>","4T2008",0.61753768058,0.61753768058,1.1452963852,702795.99999,13647542
"AESB3<XBSP>","1T2009",0.63048885864,0.63048885864,1.2484945498,1056405,13894175
"AESB3<XBSP>","2T2009",0.63428757308,0.63428757308,1.2076955973,857696,14002666
"AESB3<XBSP>","3T2009",0.63024287376,0.63024287376,1.1964923053,855040.00001,13995016
"AESB3<XBSP>","4T2009",0.5929690157,0.5929690157,1.0751502192,348013,13223976
"AESB3<XBSP>","1T2010",0.68112044993,0.68112044993,1.3479371775,1189076,16315539
"AESB3<XBSP>","2T2010",0.65994171987,0.65994171987,1.5675793493,1696531,16021427
"AESB3<XBSP>","3T2010",0.64391493579,0.64391493579,1.2654375171,1032093,15535791
"AESB3<XBSP>","4T2010",0.62866826034,0.62866826034,1.4066374815,1220069,15568312
"AESB3<XBSP>","1T2011",0.66817101328,0.66817101328,1.5914617738,1679186,16095508
"AESB3<XBSP>","2T2011",0.60664440434,0.60664440434,1.3471255966,989628,15278153
"AESB3<XBSP>","3T2011",0.63822608951,0.63822608951,1.2650415168,911724,15009930
"AESB3<XBSP>","4T2011",0.67188841291,0.67188841291,1.2168236992,724782,14226864
"AESB3<XBSP>","1T2012",0.73178332817,0.73178332817,1.5163250048,1630527,15032544
"AESB3<XBSP>","2T2012",0.64416114081,0.64416114081,1.2448615904,734967,14280492
"AESB3<XBSP>","3T2012",0.64186016142,0.64186016142,1.1427177283,480697,14009913
"AESB3<XBSP>","4T2012",0.6240336964,0.6240336964,1.1256593197,411268,13569577
"AESB3<XBSP>","1T2013",0.5872537292,0.5872537292,1.1706720721,629207,15077713
"AESB3<XBSP>","2T2013",0.61077939355,0.61077939355,1.4318986568,1218279,14669534
"AESB3<XBSP>","3T2013",0.59407676201,0.59407676201,1.3467096959,981946,14578771
"AESB3<XBSP>","4T2013",0.59144879099,0.59144879099,1.204199814,585107,14149439
"AESB3<XBSP>","1T2014",0.64610249643,0.64610249643,1.2628682553,917554,14686643
"AESB3<XBSP>","2T2014",0.59751309575,0.59751309575,0.9932359799,-21292.999996,13854787
"AESB3<XBSP>","3T2014",0.62128173472,0.62128173472,0.93942936947,-258924,14186275
"AESB3<XBSP>","4T2014",0.66607251979,0.66607251979,0.9725416022,-124906,14543284
"AESB3<XBSP>","1T2015",0.70921456966,0.70921456966,1.0670137432,355602.99999,15134183
"AESB3<XBSP>","2T2015",0.7021763816,0.7021763816,1.0668717389,325979.99999,14765895
"AESB3<XBSP>","3T2015",0.73058481173,0.73058481173,1.0693191314,378358.99999,15287453
"AESB3<XBSP>","4T2015",0.54086581704,0.54086581704,1.2941787227,269448,3881443
"AESB3<XBSP>","1T2016",0.52659138008,0.52659138008,1.5669076362,367321,3986683
"AESB3<XBSP>","2T2016",0.35693664016,0.35693664016,0.78636665792,-167759,3574270
"AESB3<XBSP>","3T2016",0.3901542476,0.3901542476,0.84429880644,-136987,3593878
"AESB3<XBSP>","4T2016",0.3785161889,0.3785161889,0.93783886611,-51466.000001,3527410
"AESB3<XBSP>","1T2017",0.44184433391,0.44184433391,1.0215103004,20057.000001,3699012
"AESB3<XBSP>","2T2017",0.57901691054,0.57901691054,1.2500967745,374081,4572607
"AESB3<XBSP>","3T2017",0.35119914771,0.35119914771,0.76886106509,-424703,5835625
"AESB3<XBSP>","4T2017",0.37100043097,0.37100043097,0.79079485542,-417631,5836014
"AESB3<XBSP>","1T2018",0.43805937206,0.43805937206,1.7519551479,911893,6230750
"AESB3<XBSP>","2T2018",0.45723071029,0.45723071029,1.6558023561,956834,6355201
"AESB3<XBSP>","3T2018",0.34557798847,0.34557798847,1.1034655985,170535,6258519
"AESB3<XBSP>","4T2018",0.31227506037,0.31227506037,1.1075218153,154947,6282457
"AESB3<XBSP>","1T2019",0.32120379142,0.32120379142,0.83795860737,-328110,6434660
"AESB3<XBSP>","2T2019",0.3305763259,0.3305763259,1.1285644831,211549,6347587
"AESB3<XBSP>","3T2019",0.33018881922,0.33018881922,1.1646923329,256826,6376008
"AESB3<XBSP>","4T2019",0.32212682872,0.32212682872,0.94812555543,-98765,6356792
"AESB3<XBSP>","1T2020",0.33969912685,0.33969912685,0.9319424541,-137298,6509313
"AESB3<XBSP>","2T2020",0.39075985814,0.39075985814,0.96423170351,-92383.000004,6855496
"AESB3<XBSP>","3T2020",0.37713651001,0.37713651001,0.9221302853,-204680,6677867
"AESB3<XBSP>","4T2020",0.31937260972,0.31937260972,0.93762385577,-161347,8084209
"AESB3<XBSP>","1T2021",0.29848094931,0.29848094931,1.3405027425,550881,9001566
"AESB3<XBSP>","2T2021",0.22839288587,0.22839288587,1.3501910913,379895,9729777
"AESB3<XBSP>","3T2021",0.26065630838,0.26065630838,1.0046196899,5588.000002,10240300
"AESB3<XBSP>","4T2021",0.34279233991,0.34279233991,1.2902083519,526312,10968866
