"Ativo","Data","PMestq| de 12 meses| consolid:sim*","PMforn| de 12 meses| consolid:sim*","PMrecb| de 12 meses| consolid:sim*","CicFin| de 12 meses| consolid:sim*","CicOpe| de 12 meses| consolid:sim*"
"EALT3<XBSP>","2T2023",72.229503088,32.077288347,65.376317537,105.52853227,137.60582063
"EALT3<XBSP>","3T2023",77.709311018,37.319199808,71.46737172,111.85748293,149.17668274
"EALT3<XBSP>","4T2023",77.546642384,25.314584613,71.981981073,124.21403884,149.52862346
"EALT4<XBSP>","2T2018","-","-","-","-","-"
"EALT4<XBSP>","3T2018","-","-","-","-","-"
"EALT4<XBSP>","4T2018",77.815632896,28.26391719,67.451621916,117.00333762,145.26725481
"EALT4<XBSP>","1T2019",62.185040166,24.95493349,87.098472348,124.32857902,149.28351251
"EALT4<XBSP>","2T2019",57.876658211,21.46047324,63.665726806,100.08191177,121.54238501
"EALT4<XBSP>","3T2019",59.952435569,23.958811227,73.789697784,109.78332212,133.74213335
"EALT4<XBSP>","4T2019",51.963225762,18.897114007,83.674004158,116.74011591,135.63722992
"EALT4<XBSP>","1T2020",63.300406243,26.396407954,97.348823134,134.25282142,160.64922938
"EALT4<XBSP>","2T2020",72.426809933,26.755602234,110.00214198,155.67334968,182.42895192
"EALT4<XBSP>","3T2020",72.739993593,26.921033866,103.42597445,149.24493418,176.16596805
"EALT4<XBSP>","4T2020",73.12144046,26.309245896,93.409169444,140.22136401,166.5306099
"EALT4<XBSP>","1T2021",85.413729751,43.087947153,89.52871048,131.85449308,174.94244023
"EALT4<XBSP>","2T2021",89.99332468,38.970517337,93.967551362,144.9903587,183.96087604
"EALT4<XBSP>","3T2021",87.101294494,39.131996198,105.03662105,153.00591935,192.13791554
"EALT4<XBSP>","4T2021",75.91066052,40.479561808,88.444237485,123.87533619,164.35489801
"EALT4<XBSP>","1T2022",75.299123935,46.793920587,69.08464533,97.589848678,144.38376927
"EALT4<XBSP>","2T2022",67.585669825,39.533526724,79.256813518,107.30895661,146.84248334
"EALT4<XBSP>","3T2022",70.745857022,37.840087093,71.932815943,104.83858587,142.67867296
"EALT4<XBSP>","4T2022",66.92570852,28.378536032,58.712198333,97.259370822,125.63790685
"EALT4<XBSP>","1T2023",69.438715416,30.503112906,65.250609998,104.1862125,134.68932541
"EALT4<XBSP>","2T2023",72.229503088,32.077288347,65.376317537,105.52853227,137.60582063
"EALT4<XBSP>","3T2023",77.709311018,37.319199808,71.46737172,111.85748293,149.17668274
"EALT4<XBSP>","4T2023",77.546642384,25.314584613,71.981981073,124.21403884,149.52862346
"AERI3<XBSP>","4T2018",65.809347181,21.971810089,31.920223236,75.757760328,97.729570417
"AERI3<XBSP>","1T2019","-","-","-","-","-"
"AERI3<XBSP>","2T2019","-","-","-","-","-"
"AERI3<XBSP>","3T2019","-","-","-","-","-"
"AERI3<XBSP>","4T2019",87.757516047,61.192948296,42.518594345,69.083162096,130.27611039
"AERI3<XBSP>","1T2020","-","-","-","-","-"
"AERI3<XBSP>","2T2020","-","-","-","-","-"
"AERI3<XBSP>","3T2020","-","-","-","-","-"
"AERI3<XBSP>","4T2020",113.26913054,37.654280042,35.879679558,111.49453005,149.1488101
"AERI3<XBSP>","1T2021",97.988223655,40.365766521,37.530496615,95.152953749,135.51872027
"AERI3<XBSP>","2T2021",110.98431945,38.385002564,15.859076839,88.458393729,126.84339629
"AERI3<XBSP>","3T2021",108.65154434,54.396913999,22.657864792,76.912495137,131.30940914
"AERI3<XBSP>","4T2021",131.18672229,72.892316437,18.372069264,76.666475121,149.55879156
"AERI3<XBSP>","1T2022",153.45787344,76.20859757,22.933855724,100.18313159,176.39172916
"AERI3<XBSP>","2T2022",169.09646055,109.84511812,11.167237173,70.418579598,180.26369772
"AERI3<XBSP>","3T2022",189.61162415,91.201516587,0,98.410107566,189.61162415
"AERI3<XBSP>","4T2022",215.76947062,55.636983744,0,160.13248688,215.76947062
"AERI3<XBSP>","1T2023",163.56046956,47.799203908,0,115.76126565,163.56046956
"AERI3<XBSP>","2T2023",135.15122882,51.318804277,0,83.832424541,135.15122882
"AERI3<XBSP>","3T2023",117.183089,43.065464474,89.445188897,163.56281342,206.6282779
"AERI3<XBSP>","4T2023",125.05147747,42.55357436,90.689162634,173.18706575,215.74064011
"AESB3<XBSP>","4T2006",7.0325347741,227.2095448,314.59961651,94.422606484,321.63215128
"AESB3<XBSP>","1T2007","-","-","-","-","-"
"AESB3<XBSP>","2T2007","-","-","-","-","-"
"AESB3<XBSP>","3T2007","-","-","-","-","-"
"AESB3<XBSP>","4T2007",3.3261533468,81.79191355,106.59105527,28.125295073,109.91720862
"AESB3<XBSP>","1T2008",3.7125458801,77.720863961,93.667217498,19.658899417,97.379763378
"AESB3<XBSP>","2T2008",4.0339910083,76.738618616,100.96565052,28.261022918,104.99964153
"AESB3<XBSP>","3T2008",4.1992074611,80.729840291,99.835895728,23.305262897,104.03510318
"AESB3<XBSP>","4T2008",3.1770920511,56.919032688,97.102197331,43.360256694,100.27928938
"AESB3<XBSP>","1T2009",3.4967221536,51.87002911,99.746660103,51.373353146,103.24338225
"AESB3<XBSP>","2T2009",3.1837973117,48.983723791,100.69956282,54.899636348,103.88336013
"AESB3<XBSP>","3T2009",3.0998302718,48.514767758,106.30533436,60.890396877,109.40516463
"AESB3<XBSP>","4T2009",3.5451086365,53.334912685,91.011942796,41.222138748,94.557051433
"AESB3<XBSP>","1T2010",3.7967177493,48.760464318,78.825479818,33.861733249,82.622197567
"AESB3<XBSP>","2T2010",3.4896923996,49.848695942,82.263601584,35.904598042,85.753293984
"AESB3<XBSP>","3T2010",3.8849053328,50.604051461,90.186195839,43.467049711,94.071101172
"AESB3<XBSP>","4T2010",2.9531423181,53.33120117,41.376606247,-9.0014526046,44.329748566
"AESB3<XBSP>","1T2011",2.9602301088,46.603518223,43.531767432,-0.11152068211,46.491997541
"AESB3<XBSP>","2T2011",2.8297312646,44.449732074,41.688988062,0.068987252133,44.518719327
"AESB3<XBSP>","3T2011",2.7371014376,48.082058234,42.068186576,-3.2767702204,44.805288014
"AESB3<XBSP>","4T2011",2.6983366769,52.510177018,43.649912613,-6.1619277278,46.34824929
"AESB3<XBSP>","1T2012",2.9040860025,49.496060834,44.076847547,-2.5151272839,46.98093355
"AESB3<XBSP>","2T2012",3.0162401858,52.567331503,43.780376206,-5.7707151119,46.796616391
"AESB3<XBSP>","3T2012",2.9606726915,52.849957337,47.801966012,-2.0873186339,50.762638703
"AESB3<XBSP>","4T2012",2.6929800813,60.258040754,47.510869782,-10.054190891,50.203849863
"AESB3<XBSP>","1T2013",2.7598088762,66.321265002,45.406575792,-18.154880334,48.166384668
"AESB3<XBSP>","2T2013",2.8885304248,54.902101078,37.130548486,-14.883022166,40.019078911
"AESB3<XBSP>","3T2013",2.8127591504,44.511154514,42.538789608,0.84039424424,45.351548758
"AESB3<XBSP>","4T2013",2.575553777,48.818024043,48.213421858,1.9709515921,50.788975635
"AESB3<XBSP>","1T2014",2.5072211459,79.533330059,59.338052087,-17.688056826,61.845273233
"AESB3<XBSP>","2T2014",2.7690369294,51.297306036,50.410431981,1.882162874,53.179468911
"AESB3<XBSP>","3T2014",2.5089654072,58.017517324,57.191900693,1.6833487765,59.7008661
"AESB3<XBSP>","4T2014",2.0500565414,57.243230857,53.941145617,-1.2520286985,55.991202159
"AESB3<XBSP>","1T2015",1.8180454253,54.665759498,66.67235024,13.824636166,68.490395665
"AESB3<XBSP>","2T2015",1.8011639368,51.719780991,59.777971739,9.8593546846,61.579135676
"AESB3<XBSP>","3T2015",1.7048085844,54.843137441,64.806264966,11.667936108,66.51107355
"AESB3<XBSP>","4T2015",0,90.134788984,3.7972580766,-86.337530907,3.7972580766
"AESB3<XBSP>","1T2016","-","-","-","-","-"
"AESB3<XBSP>","2T2016","-","-","-","-","-"
"AESB3<XBSP>","3T2016","-","-","-","-","-"
"AESB3<XBSP>","4T2016",0,161.66417295,33.870040503,-127.79413244,33.870040503
"AESB3<XBSP>","1T2017",0,171.37795317,41.002831736,-130.37512144,41.002831736
"AESB3<XBSP>","2T2017",0,181.79772597,53.119261143,-128.67846482,53.119261143
"AESB3<XBSP>","3T2017",0,219.18362453,64.205780803,-154.97784373,64.205780803
"AESB3<XBSP>","4T2017",0,276.80071791,65.202575045,-211.59814286,65.202575045
"AESB3<XBSP>","1T2018",0,298.72870092,61.069564177,-237.65913674,61.069564177
"AESB3<XBSP>","2T2018",0,310.58093765,48.76998816,-261.81094949,48.76998816
"AESB3<XBSP>","3T2018",0,331.30018068,75.730227348,-255.56995333,75.730227348
"AESB3<XBSP>","4T2018",0,336.79924874,82.12856239,-254.67068635,82.12856239
"AESB3<XBSP>","1T2019",0,344.95816726,73.687987357,-271.2701799,73.687987357
"AESB3<XBSP>","2T2019",0,323.12312188,54.395707772,-268.72741411,54.395707772
"AESB3<XBSP>","3T2019",0,345.80633559,53.970805599,-291.83552999,53.970805599
"AESB3<XBSP>","4T2019",0,333.31911208,60.155874721,-273.16323736,60.155874721
"AESB3<XBSP>","1T2020",0,352.84505571,63.370011096,-289.47504462,63.370011096
"AESB3<XBSP>","2T2020",0,381.70062924,60.287002992,-321.41362625,60.287002992
"AESB3<XBSP>","3T2020",0,431.14577232,57.148021959,-373.99775036,57.148021959
"AESB3<XBSP>","4T2020",0,4684.3287274,51.2957291,-4633.0329983,51.2957291
"AESB3<XBSP>","1T2021",0,352.1552644,48.649188269,-303.50607613,48.649188269
"AESB3<XBSP>","2T2021",0,-1544.6569346,54.386385612,1599.0433202,54.386385612
"AESB3<XBSP>","3T2021",0,311.51106468,50.733732078,-260.7773326,50.733732078
"AESB3<XBSP>","4T2021",0,78.043856634,67.130875478,-10.912981155,67.130875478
"AESB3<XBSP>","1T2022",0,35.613911742,40.926229686,5.3123179438,40.926229686
"AESB3<XBSP>","2T2022",0,44.53059707,35.493916704,-9.0366803667,35.493916704
"AESB3<XBSP>","3T2022",0,45.711243702,38.046529366,-7.6647143362,38.046529366
"AESB3<XBSP>","4T2022",0,48.144041264,42.486361433,-5.6576798311,42.486361433
"AESB3<XBSP>","1T2023",0,53.552375039,42.402626502,-11.149748537,42.402626502
"AESB3<XBSP>","2T2023",0,46.560628826,40.414017645,-6.1466111809,40.414017645
"AESB3<XBSP>","3T2023",0,55.353727771,38.73213352,-16.621594251,38.73213352
"AESB3<XBSP>","4T2023",0,61.575596802,39.410452989,-22.165143813,39.410452989
"AESB3<XBSP>","1T2024",0,41.960471308,38.276694096,-3.6837772114,38.276694096
"AESO3<XBSP>","4T2021",0,66.868980466,52.251143229,-14.617837237,52.251143229
"AESO3<XBSP>","1T2022","-","-","-","-","-"
"AESO3<XBSP>","2T2022","-","-","-","-","-"
"AESO3<XBSP>","3T2022","-","-","-","-","-"
"AESO3<XBSP>","4T2022",0,29.312224856,39.643051277,10.330826421,39.643051277
"AESO3<XBSP>","1T2023",0,25.492122969,40.207108415,14.714985445,40.207108415
"AESO3<XBSP>","2T2023",0,35.456513701,40.004926306,4.548412605,40.004926306
"AESO3<XBSP>","3T2023",0,40.813714243,40.701369863,-0.11234437994,40.701369863
"AESO3<XBSP>","4T2023",0,38.013429517,40.196594543,2.183165026,40.196594543
"AESO3<XBSP>","1T2024",0,30.244042114,40.545161531,10.301119416,40.545161531
"AFLT3<XBSP>","1T2010","-","-","-","-","-"
"AFLT3<XBSP>","2T2010","-","-","-","-","-"
"AFLT3<XBSP>","3T2010","-","-","-","-","-"
"AFLT3<XBSP>","4T2010",6.4647142737,75.069228833,44.20833989,-24.396174669,50.673054164
"AFLT3<XBSP>","1T2011",6.5750618759,6.4521635231,45.010280343,45.133178696,51.585342219
"AFLT3<XBSP>","2T2011",5.8288567754,1.1439812363,48.81277808,53.497653619,54.641634855
"AFLT3<XBSP>","3T2011",6.6231086657,9.8418156809,53.333775934,50.115068918,59.956884599
